accuracies,precisions,recalls,f1_scores,fprs,fnrs,tps,tns,fps,fns,tss_list,hss_list
0.8495548050353086,0.7165932452276065,0.621656050955414,0.665757162346521,0.07807443365695793,0.378343949044586,488,2279,193,297,0.543581617298456,0.5693184786668365
0.851044226044226,0.7176128093158661,0.6288265306122449,0.6702923181509177,0.0784789644012945,0.3711734693877551,493,2278,194,291,0.5503475662109504,0.5746209958085962
0.8464373464373465,0.7132132132132132,0.6058673469387755,0.6551724137931034,0.07726537216828479,0.39413265306122447,475,2281,191,309,0.5286019747704908,0.5572371598776364
0.855958230958231,0.7347242921013413,0.6288265306122449,0.6776632302405498,0.07200647249190939,0.3711734693877551,493,2294,178,291,0.5568200581203355,0.5856395806967692
0.8633292383292384,0.7511111111111111,0.6466836734693877,0.6949965729952021,0.06796116504854369,0.35331632653061223,507,2304,168,277,0.578722508420844,0.6075625171988654
0.855036855036855,0.7328358208955223,0.6262755102040817,0.6753782668500687,0.07241100323624595,0.3737244897959184,491,2293,179,293,0.5538645069678357,0.582797996777122
0.8568796068796068,0.7359050445103857,0.6326530612244898,0.6803840877914952,0.07200647249190939,0.3673469387755102,496,2294,178,288,0.5606465887325804,0.5888550233903169
0.8578009828009828,0.752755905511811,0.6096938775510204,0.6737138830162086,0.06351132686084142,0.3903061224489796,478,2315,157,306,0.5461825506901791,0.5840824767752658
0.8538083538083538,0.728486646884273,0.6262755102040817,0.6735253772290809,0.07402912621359223,0.3737244897959184,491,2289,183,293,0.5522463839904894,0.5800321698150019
0.8538083538083538,0.7238372093023255,0.6352040816326531,0.6766304347826086,0.07686084142394822,0.3647959183673469,498,2282,190,286,0.5583432402087048,0.5827043700027571
