Classifier,TP,TN,FP,FN,Accuracy,Precision,Recall,F1 Score,FPR,FNR,TSS,HSS
LSTM,10.7,2468.9,3.1,773.4,0.7615246013311718,0.16641483516483518,0.01364795918367347,0.024452711640211643,0.0012540453074433658,0.9863520408163264,0.012393913876230105,0.017757148377989987
RandomForest,491.0,2290.9,181.1,293.1,0.8543657999138503,0.7307075298073455,0.6261962173404394,0.6743513747195756,0.07326051779935275,0.37380378265956066,0.5529356995410867,0.5812850769009168
KNeighbors,473.2,2247.2,224.8,310.9,0.8354782913233942,0.6779292530667949,0.6034966852983231,0.638479312430928,0.09093851132686084,0.3965033147016769,0.5125581739714623,0.5324653747758638
