accuracies,precisions,recalls,f1_scores,fprs,fnrs,tps,tns,fps,fns,tss_list,hss_list
0.7589806570463616,0.0,0.0,0.0,0.0,1.0,0,2472,0,785,0.0,0.0
0.7592137592137592,0.0,0.0,0.0,0.0,1.0,0,2472,0,784,0.0,0.0
0.7592137592137592,0.0,0.0,0.0,0.0,1.0,0,2472,0,784,0.0,0.0
0.7592137592137592,0.0,0.0,0.0,0.0,1.0,0,2472,0,784,0.0,0.0
0.7592137592137592,0.0,0.0,0.0,0.0,1.0,0,2472,0,784,0.0,0.0
0.7592137592137592,0.0,0.0,0.0,0.0,1.0,0,2472,0,784,0.0,0.0
0.7767199017199017,0.6912751677852349,0.13137755102040816,0.22079314040728829,0.0186084142394822,0.8686224489795918,103,2426,46,681,0.11276913678092595,0.15587386991586955
0.7595208845208845,1.0,0.0012755102040816326,0.0025477707006369425,0.0,0.9987244897959183,1,2472,0,783,0.0012755102040816326,0.0019354899326336757
0.7678132678132679,0.7333333333333333,0.05612244897959184,0.1042654028436019,0.006472491909385114,0.9438775510204082,44,2456,16,740,0.049649957070206724,0.07251287121550093
0.7607493857493858,0.6666666666666666,0.012755102040816327,0.025031289111389236,0.0020226537216828477,0.9872448979591837,10,2467,5,774,0.010732448319133479,0.016136389731049826
